EU	ue
Anza	anza
Medellin	bernal
linking	enlazando
Forces	fuerzas
FARC	farc
impunity	impunidad
unconfirmed	confirmadas
bloodshed	derramamiento
paramilitary	paramilitar
Tauranaga	masamune
climbs	sube
9.050	nix
6.03	pf
Burma	birmania
MAE	mae
SOT	kor
Burmese	birmano
splinter	facción
ambushed	emboscado
patrol	patrulla
Buddhist	budista
DKBA	mnla
Mae	mae
Sot	kor
Col	tte
Suvit	satu
Maenmuan	meath
allied	aliadas
Rangoon	rangún
infiltration	infiltración
intrusions	intrusiones
reinforcements	refuerzos
porous	porosa
frontier	frontier
anti-Rangoon	rangún
KNU	ues
intermittent	intermitentes
inhabitants	habitantes
villages	aldeas
contol	mdm
reject	rechazar
explanation	explicación
supplies	suministros
directs	dirige
F-14	lame
catches	atrapó
tyre	cesarea
Gurion	gurión
wheel	ruedas
Yehiel	yosef
Amitai	kagan
pilots	aviadores
Airport	aeropuerto
brigade	brigada
jars	jarras
reveal	revelar
mummies	momias
Archaeologists	arqueólogos
pots	pipas
Egyptians	egipcios
burial	entierro
rites	ritos
mummification	momificación
Saleh	saleh
Museum	museo
contain	contienen
intestines	intestinos
tomb	tumba
Dahshour	qasr
pyramid	pirámide
pharaoh	faraón
Seneferu	thutmose
Metropolitan	metropolitan
Canopic	sarcófago
unguent	ungüentos
unidentifed	desconocido
Dynasty	dinastía
1991-1786	ː
BC	bc
finding	encontrando
contains	contiene
substances	sustancias
conservation	conservación
cavity	cavidad
analysis	análisis
liquids	líquidos
executes	ejecuta
gang	pandilla
robbers	ladrones
Shabir	mohd
Ahmad	ahmad
Jalil	salim
Mecca	meca
beheads	decapitar
rapists	delincuentes
murderers	asesinos
JORDAN	jordan
democracy	democracia
tamper	manipulación
stability	estabilidad
tolerated	tolerado
Marwan	marwan
Muasher	abdallah
disturbances	disturbios
Bahrain	baréin
AL	arabi
RAI	rai
Abdul-Karim	karim
al-Kabariti	meli
commited	cometer
ceiling	techo
Sultan	sultán
telephones	teléfonos
releases	discos
expresses	expresa
traditions	tradiciones
AD	ad
DUSTOUR	idrisi
Kabariti	haidar
speaker	orador
reactivate	reactivar
legislative	legislativa
ASWAQ	jazeera
Weizman	weizmann
consult	consultarlo
Ezer	zvi
weighing	pesando
consulted	consultó
speak	hablar
Earlier	anterioridad
Yedioth	fdi
Ahronoth	zabludovsky
Aryeh	yosef
Shumer	svoboda
fitting	carenado
proces	maldoror
cool	frío
bombers	bombarderos
HAARETZ	israelíes
donated	donado
YEDIOTH	israelí
AHRONOTH	netanyahu
opposes	opone
MAARIV	fdi
education	educación
columns	columnas
POST	post
Erekat	arafat
Avraham	yitzhak
Tamir	shamir
establish	establecer
Cabinet	gabinete
puts	pone
Internal	internos
Kahalani	hanan
warns	advierte
Voting	votación
Lebanese	libanés
parliamentary	parlamentaria
580,000	sesto
voters	votantes
eligible	elegible
choose	escoger
128-member	miembro
thin	delgada
trickle	goteo
casting	casting
ballots	papeletas
polling	encuestas
stations	estaciones
gmt	gmt
invites	invita
Caesarea	cesarea
ceremonial	ceremonial
architect	arquitecto
spoken	hablado
frequently	frecuentemente
urging	instó
Corporate	corporativa
employee	empleador
skilled	habilidoso
nicely	perfectamente
contribute	contribuir
consulting	consultoría
Towers	torre
Perrin	guilbert
performs	realiza
Presently	actualmente
accountant	abogado
salary	salario
Sandra	sandra
O'Neal	willis
principal	principal
evaluated	evaluado
solely	exclusivamente
skill	destreza
abilities	habilidades
skills	habilidades
creative	creativa
sensitive	sensible
customer	clientes
needs	necesita
productivity	productividad
organisation	organización
750	avg
mid-to-large	pequeño
corporations	corporaciones
surveyed	relevamiento
restructuring	reestructuración
Next	siguiente
agenda	agenda
structure	estructura
skills-based	habilidades
non-management	gestionar
fad	fad
inexorable	inexorable
hierarchical	jerárquica
concept	concepto
defined	definido
Multi-layers	capas
competitive	competitiva
emphasis	énfasis
raise	elevar
Is	es
ask	preguntar
Do	talvez
eliminate	eliminar
increases	aumenta
bonuses	bonificaciones
incentives	incentivos
Companies	compañías
culture	cultura
rated	calificación
high-performing	presentaciones
managers	entrenadores
decisions	decisiones
high-performance	desempeño
engaging	intimidación
Geert	gert
Clercq	joubert
NEUFCHATEAU	bourgogne
Investigators	investigaba
inquiries	indagaciones
Prosecutor	fiscalía
Georges	georges
Zicot	lacombe
insurance	seguros
fraud	fraude
forgery	falsificación
searches	búsquedas
sites	sitios
thefts	robo
Gerard	jacobus
Pignon	bouquet
warehouse	almacén
stolen	robado
insurer	asegurador
Thierry	thierry
Dehaan	lawrence
ring	anillo
Weinstein	weinstein
shockwaves	vórtice
eight-year-olds	cuatros
Detroux	bellegarde
abducted	raptado
disagreement	desacuerdo
Another	otro
Thily	guizot
BREGANCON	brega
funding	financiación
pubished	leído
texts	textos
practically	prácticamente
Chirac	chirac
Riviera	riviera
fortress	fortaleza
widely	ampliamente
+331	doofenshmirtz
MUZAFFARABAD	jalal
Pakistan-ruled	pakistaní
Azad	azad
Indian-ruled	dictaminó
waged	combatido
instantly	instantáneamente
Kunar	helmand
Muzaffarabad	herat
Garhi	herat
Habibullah	shah
reopening	reapertura
Salang	mueang
embattled	bastiones
Kabul-Salang	medan
Supreme	suprema
Coordination	coordinación
Jumbish-i-Milli	mamba
powerful	poderosa
warlord	facción
Rashid	rashid
Dostum	muyahidines
postponement	aplazamiento
precautions	precauciones
Hezb-i-Islami	islami
Gulbuddin	muyahidines
Hekmatyar	karzai
rejoined	reincorporó
persuade	convencer
Jumbish	dari
burn	quemar
Hasina	sukarno
effigy	efigie
Anis	cem
battled	luchó
Sheikh	ahmed
Bogra	bandar
barricaded	barricadas
ruling	apeló
Awami	baaz
battles	batallas
alight	incendiar
Janakantha	lakshmi
alleging	denunció
pro-government	regir
batons	picas
teargas	antidisturbios
disperse	dispersar
stones	piedras
bombs	bombas
Nationalist	nacionalista
BNP	bnp
denounce	denunciar
coincided	coincidiendo
Local	local
policeman	policía
gunshots	quemarropa
pro-opposition	oposición
section	sección
grants	becas
urged	instó
legislators	legisladores
denouncing	denunciando
barbarity	barbarie
Rafiqul	ghulam
Islam	islam
Hundreds	cientos
raided	asaltaron
arresting	arrestos
outsiders	outsiders
student	estudiante
dormitories	dormitorios
seizing	apoderándose
stormed	asaltaron
halls	salones
flushed	goteo
gunpoint	arresta
baggage	equipaje
revolvers	revólveres
sawn-off	cose
shotguns	escopetas
knives	cuchillos
swoop	gizmo
Vice-Chancellor	canciller
Emajuddin	mohd
deteriorating	deteriorando
28,000-student	estudiante
Wednedsay	uber
gunbattles	balacera
Begum	begum
Khaleda	karzai
Zia	zia
blanket	acolchado
possessors	poseedores
firearms	armas
irrespective	independientemente
identities	identidades
Nearly	casi
crashes	estrelló
ravine	hondonada
FEATURE	gonzo
Fertile	fértil
drought	sequía
Irene	irene
Marushko	andreev
BATKIVSHCHYNA	prorrusos
COLLECTIVE	colectivo
FARM	granja
shiny	translúcido
green-and-yellow	verde
Deere	deere
parked	aparcado
1,750-hectare	hectárea
4,325-acre	devereux
grain-growing	granos
regions	regiones
fill	llenar
agronomist	agrónomo
enthusiasm	entusiasmo
diesel	diésel
Odnosum	papaver
breakdown	ruptura
machinery	maquinaria
loaned	cedido
Ukrainian	ucraniano
grain	grano
harvest	cosecha
harsh	duras
scoured	montones
steppes	estepas
stunting	wabc
sector	sector
transition	transición
fertile	fértil
rich	ricas
boots	botas
reputation	reputación
breadbasket	remolacha
brutal	brutal
collectivisation	colectivización
dictator	dictador
Josef	josef
Stalin	stalin
quality	calidad
Hryhory	lvov
Borsuk	ulam
Mironivka	lutsk
Wheat	trigo
Institute	instituto
Agrarian	agrario
temperature	temperatura
Celsius	celsius
143.60	inri
Fahrenheit	fahrenheit
unlit	iluminada
electricity	electricidad
unpaid	remuneración
dry	seco
rainfall	precipitaciones
harvesting	recolección
strains	cepas
resistant	resistente
extreme	extremas
continental	continental
climate	climático
agricultural	agrícola
Collective	colectivo
farms	granjas
nascent	incipiente
fertiliser	fertilizantes
herbicides	herbicidas
pesticides	pesticidas
repair	reparación
36.5	graeme
worse	peor
priced	precio
cheaply	barato
pigs	cerdos
solutions	soluciones
horizon	horizonte
260	ptt
readying	preparando
sowing	siembra
5.2	●
hectare	hectárea
2.5	má
acres	acres
3.9	ob
2.11	real»
borrowing	préstamos
two-lane	lane
passes	pasa
occasional	ocasional
horse-drawn	caballo
buggy	buggy
1,700-hectare	hectárea
4,200-acre	devereux
Shevchenko	shevchenko
collective	colectivo
neat	palomar
tidy	arreglando
decay	decaimiento
Accountant	funcionario
Sypron	ipa
strapped	arnés
bartering	trueque
220	dq
rickety	trepar
tractors	tractores
badly	gravemente
160-200	phc
Soprun	litvinenko
dedication	dedicación
sit	sentarse
cry	llores
harvested	cosechas
Planted	plantado
autumn	otoño
item	ítem
grows	crece
Further	continuación
resources	recursos
Borkus	arnim
subsidies	subsidios
pre-Soviet	soviética
hectares	hectáreas
124	llegadas
36,000	
willing	decidido
hurry	apuro
Collectivisation	colectivización
Privatising	privatización
negative	negativas
swells	oleaje
setbacks	reveses
Melanie	jennifer
Cheary	rafferty
swelled	afluencia
attributable	atribuible
streamlined	carenado
variety	variedad
divisional	divisional
Announcing	anunciando
Gilbertson	whitmore
Happily	felizmente
illusion	ilusión
arising	originadas
weakness	debilidad
rand	rand
relative	relativa
1,803	antro
1,003	demian
469	eei
279	cicero
Impala	impala
Platinum	platino
substantial	significativa
obvious	obvio
corporation	corporation
furnace	carbón
Implats	echelon
shutdown	apagón
4.5350	npr
Nor	no
Ingwe	kongo
Coal	carbón
rains	lluvias
forfeited	desposeído
flooding	inundación
Mpumulanga	pemba
gloom	oscuridad
blocking	bloquear
merger	fusionaría
Lonrho	enron
Plc	plc
platinum	platino
disappointment	decepción
Looking	mirando
challenges	desafíos
soundly	derrotado
structured	estructurada
prudently	pacientemente
financed	financiada
blessed	bienaventurada
portfolio	portafolio
world-class	mundial
businesses	comercios
Citing	citando
disposal	arsenales
holdings	holdings
Malbak	enriquillo
disposals	asistencias
pruned	podar
concentrate	concentrarse
core	núcleo
clean	limpia
disposing	deshacerse
non-core	núcleo
pruning	poda
commodity	precios
invested	invirtió
Referring	refiriendo
41.5	finale
coal	carbón
cheaper	barato
snapping	palmadas
liked	gustó
downturn	recesión
Finally	finalmente
offshore	offshore
482-1003	/
Advanced	avanzadas
Medical	médica
IVAC	univac
Eli	eli
Lilly	lilly
intravenous	intravenosa
infusion	infusión
therapy	terapia
wholly	enteramente
IMED	asec
merge	fusionar
pumps	bombeo
fluid	fluido
patient	paciente
proprietary	aplicaciones
disposable	desechables
combined	combinada
Diego-based	basado
provider	proveedores
health-care	salud
plants	plantas
Creedmoor	enfield
N.C.	adueñó
Tijuana	tijuana
distributes	distribuyendo
prodcuts	dibujos
120	aptas
Dec.	deck
DLJ	ubs
Merchant	comerciante
Banking	bancario
River	río
expects	promete
unspecified	desconocida
one-time	tiempo
technology-based	tecnología
delivery	tarificación
IV	iv
pump	bombeo
regulated	regulada
volumetric	volumétrica
fully	plenamente
diluted	diluido
53.9	él»
Excluding	excluyendo
17.4	roya
112.8	mosco
8.4	ob
29.2	—también
Mercer	mercer
CEO	ceo
Mallinckrodt	merck
Kuhn	kuhn
regulatory	regulatorio
approval	aprobación
Morris	morris
boosted	potenciado
92	vales
mirroring	reflejando
bonds	bonos
5,731	boyero
NASDAQ	nasdaq
fractionally	equivalentemente
1,143	globus
666	tojo
lagged	rezagados
declines	declina
476/698	afb
837/763	lw
30-year	pnud/
Treasury	tesorería
2/32	cicr
6.96	–un
HELENS	albans
CLINCH	ganar
Challenge	desafío
thrashed	goleando
66-14	ob
inaugural	inaugural
secured	asegurado
Knowsley	ipswich
Road	road
1975	lek
rain-soaked	lluvia
Hunte	moor
grabbed	tiró
hat-trick	niven
Martyn	martyn
Sullivan	sullivan
Newlove	hamish
goalkicker	_winner
Bobbie	chrissie
Goulding	goulding
seven-year	año
reign	reinado
toast	tarta
Broncos	redskins
scrape	tropezar
end-of-season	temporada
play-offs	playoff
sights	puntería
treble	octavas
2:37	dq
2:42	imo
3:22	oti
4.09	landó
Sebastian	sebastian
Lindholm	lund
5:17	lra
Lasse	kalle
Lampi	lauri
12:01	cur
Madeira	madeira
16:34	cti
Angelo	angelo
Medeghini	roselli
18:28	bozo
MAKINEN	hamlin
STEPS	pasos
BID	desbancar
Finn	finn
1,452-km	km
doubling	duplicando
decisive	decisivo
gearbox	embrague
Maakinen	lauri
strengthened	fortalecido
retirement	jubilación
nearest	distancia
SHARPE	sharpe
WINNER	pulitzer
EASE	facilidad
PRESSURE	presión
LEEDS	leds
Winger	centrocampista
Sharpe	sharpe
superb	excelente
hapless	astuto
anchored	anclar
repaid	pagado
slice	rebanada
4.5	sade
6.98	ii»
fee	pago
top-draw	draw
Rush	rush
feeding	alimentándose
galloped	galope
unfavoured	disgustó
arc	arco
right-hand	mano
under-fire	fuego
Wilkinson	roberts
booed	ovacionado
jeers	gritos
cheers	saludo
25,860	mocha
WASIM	mohd
AKRAM	karim
JOINS	unen
three-wicket	ticket
300th	ath
becomes	convierte
300-club	club
bowlers	bateadores
Imran	rafi
feat	feat
cricketers	críquet
Kapil	sanjay
Dev	dev
434	nacha
Tests	tests
Hadlee	carew
431	inri
Botham	davies
383	dass
Malcolm	malcolm
Indies	indias
376	ob
362	micros
Lillee	oates
355	cjm
Willis	willis
Gibbs	carlson
Trueman	beattie
307	r/
Courtney	courtney
Walsh	walsh
bowling	bowling
208	cicero
Middlesex	middlesex
144	kal
137	rv
5-43	boulton
323-5	geoff
Llong	refe
273-5	zabludovsky
118	leo
Cottey	quinton
142-4	kuk
53-0	ado
3-12	ob
164-4	hy
Weston	weston
231-7	sat
4-48	dove
135-9	kino
BY	por
WICKETS	anotaron
242	magna
48-1	mixtos
b-6	casus
lb-2	lb
nb-13	nba
1-96	#en
2-136	rect
3-166	ops
4-179	inv
5-187	þ
6-205	quasi
7-220	ol
8-238	musik
9-242	huber
15.4-1-67-3	rv
18-3-55-1	jacta
37-10-78-6	eq
10-3-30-0	fsc
nb-5	nbc
1-7	ob
3-0-15-0	/i
3-0-24-1	aloha
0.4-0-9-0	e/
Lord	señor
Drawn	dibujaba
NEED	necesitas
RUNS	corre
requiring	requiriendo
FINALS	semifinales
950	aceptada
455	cortesía
30-SEPT	sept
Falkir	falkirk
Montrose	montrose
COSTA	salvador
RICA	nicaragua
CHILE	chile
FRIENDLY	amistosas
LIBERIA	liberia
Rica	nicaragua
Ronaldo	rivaldo
Gonzalez	ortiz
Salas	perea
SEYCHELLES	seychelles
FAIL	fallan
HISTORIC	histórico
VICTORY	victoria
Gleeson	donovan
Seychelles	seychelles
bowed	cítara
Trailing	desquite
islanders	islanders
Mauritius	seychelles
qualifiers	clasificatorias
FIFA	fifa
breakthrough	éxito
Mauritian	francés
Caboche	droz
crude	crudo
tackle	tackle
responded	respondió
setback	sufrió
Ashley	kimberly
Mocude	vilela
50th-minute	minutos
Seychellois	seychelles
favourites	favoritos
Botswana	botsuana
Windhoek	windhoek
Cameroon	chad
Gabon	gabón
German-based	alemán
Lome	tete
Tanzania	tanzania
shoot-out	quemarropa
overcome	sobreponerse
legs	patas
decider	octavos
elimination	eliminación
humiliating	humillante
preliminaries	preliminares
Mauritania	malí
Benin	benín
Nouakchott	bamako
postponed	aplazó
COLLATED	recado
Collated	reseñado
aggregaete	medirse
UKRAINIAN	ucraniano
Kremin	chernomorets
Kremenchuk	dnipropetrovsk
Vorskla	chernomorets
Poltava	poltava
Ternopil	frankivsk
Zaporizhya	krylia
Shakhtar	shajtar
Donetsk	donetsk
Kryvbas	krylia
Kryvy	dnipropetrovsk
Rig	sónar
Karpaty	chernomorets
Lviv	leópolis
Prykarpattya	zaporizhia
Ivano-Frankivsk	frankivsk
Zirka-Nibas	omonia
Kirovohrad	dnipropetrovsk
Chornomorets	chernomorets
Odessa	odessa
Metalurg	fk
Dnipro	chernomorets
Dnipropetrovsk	dnipropetrovsk
Tavria	cherkasy
SWIMMING	natación
POPOV	popov
`SERIOUS	serio
CONDITION	condición
STABBING	ahorcamiento
swimming	natación
Popov	popov
freestyle	relevos
titles	títulos
Rimma	rina
Maslova	ivanova
expert	experto
medicine	medicina
Olympics	olímpicos
abdomen	abdomen
roadside	cunetas
watermelon	jengibre
sellers	compradores
south-west	oeste
wound	herida
kidney	riñón
NTV	ntv
worry	preocuparse
cheerfully	alegremente
attackers	atacantes
Vitaly	vitaly
Smirnov	smirnov
swimmer	nadador
chosen	escogido
SLOVAK	eslovaco
BRATISLAVA	bratislava
Slovak	eslovaco
Slovan	slovan
Tatran	baník
Presov	prešov
Artmedia	mitropa
Petrzalka	karol
JAS	jas
Bardejov	hradec
DAC	dac
Dunajska	sutjeska
Streda	baník
Trnava	trnava
Dukla	baník
Banska	banská
Bystrica	banská
Nitra	košice
MSK	msk
Zilina	žilina
Kosice	košice
Petrimex	gazprom
Prievidza	trnava
Rimavska	kranj
Sobota	labem
Lokomotiva	željezničar
Kerametal	metal
Dubnica	baník
HUNGARY	hungría
Hungarian	húngaro
Haladas	britos
MTK	mtk
Bekescsaba	eger
BVSC	politehnica
Csepel	székesfehérvár
Videoton(*	tenfield
ZTE	huawei
Debrecen	debrecen
Siofok	sopron
Ujpest	újpest
Vac	vac
Vasas	vasas
Pecs	pec
TE	je
FTC	stc
Videoton	slovan
Gyor	bled
III.ker.TVE	kerr
*Name	nombre
Parmalat	fasa
Fehervar	raab
+361	ani
CZECH	checa
Petra	petra
Drnovice	baník
Liberec	liberec
SK	sk
Slavia	slavia
Praha	praha
Ceske	praha
Budejovice	hradec
FK	fk
Jablonec	žilina
Viktoria	viktoria
Zizkov	stal
Banik	žilina
Ostrava	praga
Teplice	bratislava
Boby	rude
Brno	brno
Sigma	sigma
Olomouc	olomouc
Bohemians	bohemians
Karvina	bor
Hradec	hradec
Kralove	hradec
Kaucuk	bautzen
Opava	žilina
Plzen	praga
AC	ac
MEXICAN	mexicano
Atlante	atlante
Atlas	atlas
Azul	morelo
Leon	leon
Guadalajara	guadalajara
Monterrey	monterey
Veracruz	veracruz
Pachuca	pachuca
Toluca	toluca
Puebla	puebla
UNAM	unam
Morelia	morelia
UAG	uag
Neza	neza
Necaxa	necaxa
Celaya	celaya
LEAVE	dejar
EARLY	inicios
CATCH	capturas
PLANE	avión
Homewood	deerfield
catch	atrapar
Sao	sao
Narciso	emigdio
Rio	janeiro
Janeiro	janeiro
chartered	chartered
CBF	cbf
Paulo-Santos	magalhães
usual	usual
package	paquete
Internacional	porto
hectic	altibajos
arrive	llegan
Curitiba	curitiba
Botafogo	flamengo
Tulio	elvio
Zagalo	tano
features	características
top-scorer	goleador
struggling	agobiado
ARGENTINE	argentino
Apertura	sampaoli
Estudiantes	peñarol
Ferro	ferraro
Carril	marieta
Oeste	darregueira
Independiente	sacachispas
Gimnasia-Jujuy	acassuso
Platense	sacachispas
Huracan	cholo
Lanus	liberti
Huracan-Corrientes	cané
Newell	wheelwright
Velez	seijas
Sarsfield	aldao
Racing	automovilismo
Rosario	rosario
Plate	placas
Gimnasia-La	ironi
Plata	viedma
Lorenzo	lorenzo
Banfield	pinasco
Deportivo	sacachispas
Espanol	clarin
Colon	colon
HONDURAS	honduras
CUBA	cuba
TEGUCIGALPA	tegucigalpa
Honduras	honduras
Castro	castro
3rd	ard
Enrique	gonzalo
Centeno	zelada
Pavon	jasso
Cricuma	radix
Fluminense	fluminense
Criciuma	baia
Formula	fórmula
89-86	edson
45-46	zumba
PRO-SOCCER	fútbol
.604	ases
.551	tes
.463	sn
.456	moa
MOROCCAN	marroquí
RABAT	rabat
Moroccan	marroquí
Widad	caire
Fes	fes
Oujda	agadir
Raja	raja
Casablanca	casablanca
Tetouan	tánger
Jeunesse	jeunesse
Massira	asmara
Meknes	sidi
Settat	meshid
Marrakesh	tombuctú
Khouribga	mazembe
Mohammedia	karim
Sidi	sidi
Kacem	rachid
Jadida	safi
Hassania	abdallah
Agadir	agadir
QUENCH	sublimación
YOUR	desees
THIRST	sed
IF	si
YOU	necesitas
CAN	puede
AFFORD	permitirse
reads	leen
Due	debido
hot	hot
please	procederé
shade	sombra
drink	bebida
plenty	bastantes
fluids	fluidos
advisory	consultivo
concluding	concluyendo
...and	y
garishly-coloured	bunbury
sun-drenched	empapado
litre	litros
life-sustaining	sobrevivir
4.00	il
incredulous	incredulidad
noting	señalando
notorious	infame
gouging	latigazos
insult	insulto
offended	ofendido
baked	horneado
lasagna	espagueti
8.50	bozo
Yorker	yorker
Rebecca	laura
sandwich	sándwich
hungry	hambriento
forked	bifurcada
pronounced	pronunciado
Carol	carol
Perry	browne
chimed	metrónomo
ridiculous	absurda
wine	vino
Indeed	supuesto
chardonnay	chardonnay
zinfandel	sangiovese
4.75	squeeze
4.50	asap
alcoholics	alcohólicos
Fans	fans
12.50	teo
hamburger	hamburger
french	francés
fries	fries
snack	aperitivos
thirsty	sediento
Make	hacer
16.50	xo
ham	ham
swiss	suizo
cheese	queso
whopping	totales
8.00	crispin
tuscan	toscana
rolls	rolls
Tuscany	toscana
HUBER	huber
MALEEVA	maleeva
FALL	caída
UP-AND-COMERS	jóvenes
Larry	larry
Fine	fine
youthful	desenfadado
finalist	finalista
Magdalena	magdalena
Maleeva	panova
sunny	soleado
15-year-old	sinclair
honoured	honrado
Stadium	estadio
straight-sets	recta
112th-ranked	tropezar
Montolio	armenteros
cheery	despreocupado
worries	preocupa
overmatched	oroz
Hoping	intentar
engagement	compromiso
cement	cemento
Flushing	flushing
Meadows	prados
bowing	reverencia
floater	barrilete
semifinals	semifinales
momentum	inercia
rhythm	rítmica
tough	duro
errors	errores
Manhattan	manhattan
Beach	beach
mourn	lamentar
non-	hoi
rookie	rookie
Aleksandra	aleksandra
Olsza	rosolska
110th	ath
18-year-old	sinclair
celebrated	celebra
removing	quitando
curtain-raising	telón
ringing	campanas
endorsement	respaldo
newest	nuevo
juniors	juniors
proven	demostrado
mettle	astucia
quarters	barracones
conditioning	climatización
kilos	kilos
advance	avanzar
fast-moving	ayuno
scared	asustado
undaunted	heroicamente
pros	pros
big-serving	sirviendo
Brenda	brenda
Schultz-McCarthy	mccarthy
Nana	nana
Miyaga	nishioka
Helena	helena
Sukova	petrova
prevailed	prevaleció
Barbara	barbara
Paulus	paulus
Yi	yi
Jing-Qian	yuan
STICH	stich
GLAD	alegro
HE	él
STAYED	permaneció
fiasco	fiasco
glad	siento
sweating	sudoración
four-set	cuatro
Haas	recientemente
embarrassing	vergonzosa
cried	lloraba
remaking	superproducción
kids	kids
enjoy	disfrutar
tradition	tradición
strict	estricta
accordance	conformidad
favourtism	demagogia
Yvegeny	wired
spots	manchas
ranking	ranking
approximately	aproximadamente
outrage	indignación
tarnished	desprestigio
mind	mente
damaging	dañando
ought	debería
USTA	tennis
27-year-old	dimaggio
focused	centrado
energies	energías
sun-baked	rebozado
Grandstand	palco
11th-seeded	tenagra
Malivai	acasuso
lingers	sintiendo
homegrown	emergente
controversy	controversia
engulfed	estallado
original	original
flamboyant	extravagante
bumped	parado
unfairness	injusticia
exits	comunica
benefitted	benefició
fiddling	cajún
Ranked	ranking
18th	ath
deserves	merece
everybody	nadie
MONDAY	lunes
Anne-Gaelle	keegan
Sidot	sidot
Janette	janette
Husarova	ivanova
Miyagi	miyagi
Vitoux	aignan
Delgado	arévalo
Paraguay	paraguay
Henrietta	henrietta
Nagyova	szávay
Gala	gala
Pizzichini	falconi
Schett	schett
Sabine	sabine
Appelmans	siegemund
Cristina	cristina
Torrens-Valero	valero
Hack	hack
Spirlea	worthington
Begerow	kučera
Gaidano	garrone
Schnell	schnell
9-7	int
heat	calor
Dier	maas
Tramacchi	arnaboldi
Anna	anna
Kournikova	kournikova
Richterova	weigel
Debbie	debbie
Stephanie	stephanie
Deville	poison
Rittner	schett
Kristina	kristina
Brandi	brandi
Glass	vidrio
Ines	ines
Gorrochategui	cepede
Grzybowska	rosolska
Jaime	jaime
Oncins	oncins
Corina	corina
Morariu	morariu
Linda	susan
Wild	salvajes
Sung-Hee	kora
Pitkowski	matkowski
Meghann	meghan
Shaughnessy	shaughnessy
6-	retiro
Dally	reilly
Randriantefy	dechaume
Madagascar	madagascar
Elena	elena
Makarova	makarova
Courtois	courtois
Flora	flora
Perfetti	vento
Leander	leander
Paes	paes
Neville	sir
Godwin	godwin
Alexandra	alexandra
Fusai	cîrstea
Jill	kate
Craybas	craybas
Jecmenica	domenica
Dechy	tauziat
Christina	christina
Jane	jane
Chi	chi
Callens	valens
Nicole	nicole
Bradtke	bradtke
Baudone	arnaboldi
Jolene	amanda
Watanabe	kawakami
Kandarr	talaja
EDGE	borde
RUN	run
TOP	top
NINTH	octavo
Tyler	tyler
sweep	barrida
3-2	loyo
Foster	foster
fastball	batear
rotate	rotar
changeup	bateador
3-for-4	para
outslugged	bateadores
13-9	ere
Wilkins	huggins
Ericks	olson
13-8	oj
Renteria	pupo
fielded	militado
cleanly	fácilmente
Boles	robinson
Osvaldo	osvaldo
Fenandez	alonzo
seven-hitter	amargas
Trenidad	báez
Hubbard	hubbard
6-13	tee
Gagne	gagne
run-scoring	anotando
Chad	chad
pinch-hits	hit
pennants	gallardete
Jody	jody
Reed	white
Caminiti	russa
Bagwell	bagwell
Donne	gustado
8-4	fug
1-1/2	ː
shoulder	hombro
.466	­
.362	rect
.592	oxy
.530	ob
.447	ak
.573	​​de
.474	gua
26TH	ath
.628	oj
.405	cher
.523	emisor
.423	ob
.545	moa
.519	espiar
BONDS	bonos
CONSECUTIVE	consecutivas
GAME	juego
STREAK	racha
All-Star	estrella
appearing	apareciendo
battling	luchando
hamstring	lesión
357	schindler
second-longest	largo
2,282nd	y
13-0	yy
pinch-hitting	marmolejo
MRI	tomografía
mild	leve
strain	susceptibilidad
lineup	alineación
1-for-2	para
exiting	atravesando
32-year-old	dimaggio
.307	sob
last-place	lugar
outfielder	relevista
Sammy	sammy
Sosa	sosa
third-longest	largo
baseman	campocorto
JONK	naar
RETURNS	devuelve
BRAZIL	brasil
ROTTERDAM	róterdam
Guus	bert
Hiddink	koeman
Wim	wim
Jonk	loo
14-month	mes
Gastel	gobert
Boer	boer
Bergkamp	koeman
Goey	bert
Jaap	koen
Stam	ruud
Reiziger	persie
Kock	kock
04	foe
Witschge	basten
Aron	aron
Winter	invierno
Internazionale	internazionale
Seedorf	boateng
Real	real
Madrid	madrid
BARCELONA	barcelona
ATLETICO	atletico
31st	est
Pizzi	pizzi
la	venise
Pena	nogueira
75th	eth
Esnaider	swat
Pantic	neda
ZIMBABWE	zambia
263-7	wr
138	pis
SCOREBOARD-AUSTRALIA	score
Slater	slater
Strang	thayer
Whittall	bowles
Streak	racha
Bevan	connolly
Brandes	herold
Hogg	arnott
b-1	●
lb-8	lb
w-3	agg
nb-3	nba
263	tojo
1-48	●
2-92	vales
3-167	ob
4-230	terminalis
5-240	wilde
6-242	sps
7-263	hn
Reiffel	steinmetz
Flemming	fleming
10-1-50-1	arr
2w	galíndez
2nb	nb
10-1-47-2	●
1w	●
9-0-41-1	ː
Flower	flor
6-0-28-0	jac
10-0-53-3	ude
1nb	nb
Decker	decker
3-0-17-0	ob
Shah	shah
2-0-18-0	maus
Wishart	wishart
Evans	evans
Dekker	pelt
lb-4	lb
w-10	nis
nb-7	nba
1-16	ː
2-16	amistosas
3-33	ob
4-35	globus
5-56	fraguó
6-98	lanata
7-100	psi
8-120	oj
9-120	ro
7-2-13-1	●
7-0-24-2	scat
3w	sacas
3nb	drugbank
6-1-23-2	●
7-2-24-1	pah
9-2-26-1	anido
5-1-24-3	#en
OVERS	goles
day-night	noche
TOSS	nose
OPT	optar
BAT	pelotero
AGAINST	contra
toss	patear
Teams	equipos
Stuart	stuart
Damein	pulau
Fleming	fleming
Eddo	edo
